Product Name,Rating,Customers_Rated,Price,URL
Men's Wonder-13 Sports Running Shoes…,3.9 out of 5 stars,96946,595.0,https://www.amazon.in/b?ie=UTF8&node=26142350031&pd_rd_w=R7FS1&content-id=amzn1.sym.c53e2da8-41ee-4791-a941-bd2e6cc1a267:amzn1.sym.c53e2da8-41ee-4791-a941-bd2e6cc1a267&pf_rd_p=c53e2da8-41ee-4791-a941-bd2e6cc1a267&pf_rd_r=W0Z03K93GSXXPTG9GXBB&pd_rd_wg=7IMt1&pd_rd_r=3e901d5b-3d20-4a53-b466-0b4f92b2c615&qid=1713180033&ref_=sxts_spks_0_0_c53e2da8-41ee-4791-a941-bd2e6cc1a267
Men's Wonder-13 Sports Running Shoes…,3.9 out of 5 stars,96946,595.0,https://www.amazon.in/Wonder-Firozi-Sports-Shoes-Indian/dp/B01N66F4CH/ref=sr_1_1?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-1
Men's MAXICO Running Shoes,3.9 out of 5 stars,26825,699.0,https://www.amazon.in/Campus-Maxico-MODBLU-BLU-Running-Shoes/dp/B0855YNHGN/ref=sr_1_37?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-37
"Men's Cosko Sports Running,Walking,Gym,Training Sneaker Lace-Up Shoes for Men's & Boy's",3.8 out of 5 stars,25416,724.0,https://www.amazon.in/ASIAN-Cosco-Sports-Running-Shoes/dp/B07NDC5BKN/ref=sr_1_26?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-26
Men's OXYFIT (N) Walking Shoes,4.1 out of 5 stars,20751,529.0,https://www.amazon.in/Campus-OXYFIT-Walking-Shoes-India/dp/B09RPM4KCG/ref=sr_1_47?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-47
Men's First Running Shoes,3.9 out of 5 stars,11713,1099.0,https://www.amazon.in/Campus-First-B-ORG-Running-Shoes/dp/B0915DCZDJ/ref=sr_1_17?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-17
Flash Shoe Badminton Shoes for Men,4.0 out of 5 stars,11628,949.0,https://www.amazon.in/Nivia-Badminton-Synthetic-Leather-Volleyball/dp/B0C2Z412N4/ref=sr_1_36?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-36
Men's North Plus Running Shoes,3.9 out of 5 stars,10806,1099.0,https://www.amazon.in/Campus-11G-677-Black-North-Running/dp/B08PRXXQB3/ref=sr_1_15?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-15
Mens Rodeo ProRunning Shoe,3.9 out of 5 stars,9394,644.0,https://www.amazon.in/Campus-Rodeo-PRO-Running-Shoes/dp/B09VH5HG3W/ref=sr_1_40?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-40
Mens Sx0675gWalking Shoe,4.1 out of 5 stars,8214,827.0,https://www.amazon.in/Sparx-SM-675-Turkey-G-Yellow-SX0675GTBGD0009/dp/B08WJ1WRL7/ref=sr_1_12?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-12
